age_group,gender,bq_time_hhmmss,bq_time_seconds
18-34,M,2:55:00,10500
18-34,W,3:25:00,12300
35-39,M,3:00:00,10800
35-39,W,3:30:00,12600
40-44,M,3:05:00,11100
40-44,W,3:35:00,12900
45-49,M,3:15:00,11700
45-49,W,3:45:00,13500
50-54,M,3:20:00,12000
50-54,W,3:50:00,13800
55-59,M,3:30:00,12600
55-59,W,4:00:00,14400
60-64,M,3:50:00,13800
60-64,W,4:20:00,15600
65-69,M,4:05:00,14700
65-69,W,4:35:00,16500
70-74,M,4:20:00,15600
70-74,W,4:50:00,17400
75-79,M,4:35:00,16500
75-79,W,5:05:00,18300
80+,M,4:50:00,17400
80+,W,5:20:00,19200
