age_group,gender,bq_time_hhmmss,wr_time_seconds,wr_multiplier,pct_of_wr,top3_multiplier,top3_pct,ag_pct,fair_bq_hhmmss,fair_bq_top3_hhmmss,fair_bq_ag_hhmmss,diff_from_fair,diff_from_fair_top3,diff_from_fair_ag,bq_2020_hhmmss,mult_2020,tightening_seconds,est_qualifier_change_wr_pct,est_qualifier_change_ag_pct
18-34,M,2:55:00,7170,1.4644351464435146,68.28571428571428,1.4217816955762277,70.33428571428571,68.28571428571428,2:59:07,2:58:57,2:56:08,-247.1651209484662,-237.82696177062462,-68.1466236652177,3:00:00,1.506276150627615,300,9.41581413137014,2.5960618539130556
18-34,W,3:25:00,7796,1.5777321703437661,63.382113821138205,1.531778806158996,65.28357723577236,63.382113821138205,3:14:45,3:14:35,3:11:30,614.5189284638436,624.6723857791094,809.167213654946,3:30:00,1.616213442791175,300,-19.98435539719817,-26.314380931868158
35-39,M,3:00:00,7170,1.506276150627615,66.38888888888889,1.4624040297355485,68.38055555555556,67.19523166891588,2:59:07,2:58:57,2:58:16,52.83487905153379,62.17303822937538,103.4953201769058,3:05:00,1.5481171548117154,300,-1.9568473722790292,-3.8331600065520672
35-39,W,3:30:00,7796,1.616213442791175,61.873015873015866,1.569139264845801,63.72920634920634,63.00714447353959,3:14:45,3:14:35,3:15:01,914.5189284638436,924.6723857791094,898.5409507687837,3:35:00,1.6546947152385838,300,-29.032346935360113,-28.525109548215354
40-44,M,3:05:00,7455,1.488933601609658,67.16216216216216,1.4455666035045223,69.17702702702702,67.42650792755177,3:06:14,3:06:04,3:03:51,-74.35369270164665,-64.64435146443611,68.53170807388415,3:10:00,1.529175050301811,300,2.6794123496088886,-2.4696111017615907
40-44,W,3:35:00,8547,1.5093015093015092,66.25581395348837,1.465341271166514,68.24348837209303,63.95143759484845,3:33:31,3:33:20,3:22:39,88.83956921247773,99.9711238140153,740.3885858782487,3:40:00,1.5444015444015444,300,-2.754715324417914,-22.957785608627866
45-49,M,3:15:00,7752,1.5092879256965945,66.25641025641026,1.465328083200577,68.24410256410258,66.61092530657749,3:13:39,3:13:29,3:11:27,80.47084831345819,90.56700032833032,212.88410471172028,3:20:00,1.5479876160990713,300,-2.7511401132806217,-7.278089049973343
45-49,W,3:45:00,8494,1.5893571933129267,62.91851851851852,1.5430652362261426,64.80607407407408,64.09339417108562,3:32:11,3:32:00,3:32:33,768.2816544858761,779.3441822483019,746.5784835238028,3:50:00,1.624676242053214,300,-22.763900873655587,-22.120843956260824
50-54,M,3:20:00,8369,1.4338630660771896,69.74166666666667,1.3921000641526113,71.83391666666667,68.20776255707763,3:29:04,3:28:53,3:21:04,-544.3549368504482,-533.4552082368682,-64.09431925253193,3:25:00,1.4697096427291194,300,18.145164561681607,2.136477308417731
50-54,W,3:50:00,9065,1.522338665195808,65.68840579710144,1.4779987040736,67.6590579710145,66.30604885350752,3:46:27,3:46:15,3:44:46,212.40560371020365,224.21179798455887,313.1070582804532,3:55:00,1.5554329840044125,300,-6.156684165513149,-9.075566906679803
55-59,M,3:30:00,8645,1.45748987854251,68.61111111111111,1.4150387170315633,70.66944444444445,68.80866010249323,3:35:58,3:35:46,3:32:58,-358.0533431798449,-346.79415404561223,-178.89555461332202,3:35:00,1.492192018507808,300,11.366772799360156,5.679223955978477
55-59,W,4:00:00,9927,1.4505893019038985,68.9375,1.4083391280620374,71.005625,67.7583089973578,4:07:59,4:07:46,3:59:41,-479.65246243450747,-466.723605229703,18.48211971833007,4:05:00,1.4808099123602296,300,13.323679512069653,-0.5133922143980575
60-64,M,3:50:00,9002,1.5329926682959343,65.23188405797102,1.4883423964038198,67.18884057971015,67.12728906864398,3:44:53,3:44:41,3:47:33,306.83676167669546,318.56090518003475,146.06379371418916,3:50:00,1.5329926682959343,0,-8.89381917903465,-4.233733151135918
60-64,W,4:20:00,10183,1.5319650397721694,65.27564102564102,1.4873446988079313,67.23391025641025,67.26024088069849,4:14:23,4:14:10,4:17:45,336.6272766222846,349.8895464839261,134.54537504030304,4:20:00,1.5319650397721694,0,-8.631468631340631,-3.4498814112898213
65-69,M,4:05:00,9717,1.5128125964803951,66.10204081632654,1.4687500936702866,68.08510204081632,67.93246546529475,4:02:44,4:02:32,4:05:18,135.11806412046826,147.7734187552087,-18.86716387913475,4:05:00,1.5128125964803951,0,-3.67668201688349,0.5133922143982246
65-69,W,4:35:00,10746,1.5354550530429927,65.12727272727273,1.4907330612067888,67.08109090909092,68.9758902897589,4:28:27,4:28:13,4:39:34,392.74248400108627,406.73800122913053,-274.93837422635625,4:35:00,1.5354550530429927,0,-9.521029915177849,6.665172708517727
70-74,M,4:20:00,10459,1.4915383879912036,67.0448717948718,1.420512750467813,70.39711538461539,69.63869463869464,4:21:17,4:26:07,4:26:52,-77.07112970711387,-367.59404785539846,-412.3433691897244,4:20:00,1.4915383879912036,0,1.9761828130029198,10.572906902300625
70-74,W,4:50:00,12288,1.416015625,70.62068965517241,1.3485863095238093,74.15172413793104,71.57283977819398,5:06:58,5:12:39,5:05:55,-1018.5725252740231,-1359.9001491583476,-955.9629174841139,4:50:00,1.416015625,0,23.415460351126967,21.976159022623307
75-79,M,4:35:00,11093,1.4874245019381591,67.23030303030303,1.4165947637506278,70.59181818181818,72.30373619724702,4:37:07,4:42:15,4:53:04,-127.37833844927809,-435.51207312935367,-1084.2705884612624,4:35:00,1.4874245019381591,0,3.087959719982499,26.285347599060906
75-79,W,5:05:00,12807,1.4289060669946123,69.98360655737706,1.3608629209472498,73.4827868852459,75.13420263875639,5:19:56,5:25:52,5:37:46,-896.5053980456069,-1252.2494474504347,-1966.0190235362534,5:05:00,1.4289060669946123,0,19.595746405368455,42.973093410628486
80+,M,4:50:00,11754,1.4803471158754467,67.55172413793103,1.409854396071854,70.92931034482758,76.02748441277515,4:53:38,4:59:04,5:24:58,-218.15604346279724,-544.6505821294922,-2098.425504917377,4:50:00,1.4803471158754467,0,5.01508145891488,48.239666779709815
80+,W,5:20:00,15105,1.2711022840119166,78.671875,1.210573603820873,82.60546875,79.77242960052389,6:17:20,6:24:20,6:16:15,-3440.994302918629,-3860.5706179229164,-3375.3099928193587,5:20:00,1.2711022840119166,0,71.68738131080477,70.31895818373664
